material_id,formula
mp-982246,PbAu3
mp-982510,P3Au
mp-983412,Ga3Au
mp-983539,BeAu3
mp-983604,Er3As
mp-984353,AsAu3
mp-984358,Au3O
mp-984597,Au3S
mp-984598,AuS
mp-984614,Au3Br
mp-985288,As3W
mp-990,HoAu2
mp-9907,SrAs3
mp-995182,NdB4
mp-9973,VB
mp-998972,TiAu
mp-999141,TbAu
mp-999193,SmAu
mp-999298,Pd3Au
mp-999306,PrAu
mp-999338,NdAu
mp-9998,MoAs
mp-1001,BaN2
mp-1001600,HfB12
mp-1001825,LiBe
mp-1001835,LiB
mp-1002183,TcB
mp-1002184,TcB
mp-1002188,TcB
mp-1004377,HfB6
mp-1004525,SmB12
mp-1004753,PrB12
mp-1004756,NdB12
mp-1008487,BW
mp-1008505,BaPd
mp-1008755,SrB2
mp-1009695,CaB2
mp-1009827,BaSi2
mp-1009829,Be2Si
mp-1009830,Be2Zn
mp-1013528,Ba3N2
mp-1013582,Ba3Sb2
mp-1013736,Ba3Bi2
mp-1014138,ZrB
mp-10142,Ta3B4
mp-1014246,ZrB
mp-10143,TiB
mp-10144,B2W
mp-10145,YbB2
mp-1018178,Ba2Zn
mp-1018649,BC5
mp-1019317,TcB2
mp-1025170,Ti3B4
mp-10255,Nb3B4
mp-1032,Ta2B
mp-1056860,NaB
mp-1062805,BaSb2
mp-1063752,BRh
mp-1064367,BaPd
mp-1071504,Ti2B
mp-10736,Ba3N
mp-1077,B2Ru
mp-1077125,BC5
mp-1077743,BC5
mp-1077788,BPt2
mp-1078164,Ba3Sc4
mp-1078234,BaGe3
mp-1078278,CrB4
mp-1079046,BC7
mp-1079053,B2Mo3
mp-1079437,FeB4
mp-1079661,BC7
mp-1080021,Nb2B3
mp-1080030,BC7
mp-1080664,CrB
mp-1084,ZrB12
mp-1087495,Tc3B
mp-1091391,BaTl4
mp-1095030,BC7
mp-1095284,BaGe5
mp-1096797,HgB6
mp-1096844,BiB6
mp-1097873,NdB4
mp-1102049,TaBe3
mp-1102394,Nb5B6
mp-1102396,Ba2In
mp-1103028,Ba2Pd
mp-1103315,Be2Ru
mp-1103465,TiBe3
mp-1103476,DyB12
mp-1103747,BaGe6
mp-1104066,TbB12
mp-1104067,TiBe12
mp-1104104,Be12Fe
mp-1104289,LuB12
mp-1104585,HoB12
mp-1104598,ErB12
mp-1104892,PuB12
mp-1104905,TmB12
mp-1105101,Ba9In4
mp-1105500,BaGe3
mp-1106065,B3Rh7
mp-1106180,Re7B3
mp-1106184,MnB4
mp-1106346,B4Mo
mp-1108,TaB2
mp-1113,BW2
mp-11266,BaCd2
mp-11267,BaHg2
mp-11271,BeMo3
mp-11273,Be3Nb
mp-11274,BePd
mp-11275,Be2Re
mp-11278,Ta2Be
mp-11279,TiBe
mp-11280,TiBe12
mp-11281,Be2V
mp-11282,Be2W
mp-1145,TiB2
mp-11820,BaNa2
mp-1182123,BaSb2
mp-1182576,BaO10
mp-1183050,BaYb3
mp-1183231,BRu3
mp-1183252,BIr
mp-1183263,BOs3
mp-1183295,Ba3Sb
mp-1183300,Ba3Se
mp-1183304,Ba3Na
mp-1183311,BaLa3
mp-1183314,Ba3Ca
mp-1183315,Ba3Yb
mp-1183316,Ba3Mo
mp-1183324,BaSr3
mp-1183326,BaPm3
mp-1183330,Ba3Sr
mp-1183331,Ba3Th
mp-1183332,BaCa3
mp-1183333,Ba3Y
mp-1183334,Ba3La
mp-1183335,BaSr3
mp-1183336,Ba3Tm
mp-1183340,Ba3Ho
mp-1183342,Ba3Ca
mp-1183343,Ba3Tb
mp-1183345,Ba3Sr
mp-1183353,Ba3Sm
mp-1183356,Ba3Na
mp-1183358,BaRe3
mp-1183360,Ba3Te
mp-1183361,Ba3Yb
mp-1183365,Ba3Pm
mp-1183391,BaPb3
mp-1183398,BaYb3
mp-1183399,BaYb3
mp-1183400,BeH
mp-1183404,Be3Cu
mp-1183407,Be3Si
mp-1183408,Be3Pd
mp-1183411,Be3Rh
mp-1183420,BeGe3
mp-1183424,Be3Ge
mp-1183425,Be3Co
mp-1183427,BeGe3
mp-1183428,BeGa3
mp-1183434,Be3S
mp-1183440,BiB
mp-1183473,BeRu3
mp-1183580,Cd3B
mp-1183939,CsBa3
mp-1183948,CsBa3
mp-1183954,CsBa3
mp-1184483,In3B
mp-1184492,In3B
mp-1184555,Ge3B
mp-1184565,GeB
mp-1184861,K3Be
mp-1184864,K3Ba
mp-1184887,K3Ba
mp-1184910,K3Ba
mp-1185072,KBa3
mp-1186020,Na3B
mp-1186025,Na3B
mp-1187475,Ti3Be
mp-1187526,Tl3B
mp-1187632,Tl3B
mp-1188016,Zr3Be
mp-1188954,Ba3Ge5
mp-1189298,YbB4
mp-1189402,Ta2Be17
mp-1193092,ErBe13
mp-1193534,YBe13
mp-1193889,HoBe13
mp-1201649,Ti2Be17
mp-1219,BaGa2
mp-1221769,Mn4B
mp-1226275,Cr4B
mp-1227357,Be3Cu
mp-1227650,BaSr4
mp-1227725,BaSr
mp-1227938,BaCa
mp-1227959,BaCa3
mp-1227975,BaC2
mp-1228488,Ba2Ge3
mp-1228623,BC
mp-1228665,BPd5
mp-1237266,BaSi
mp-12569,PrB4
mp-12570,ThB12
mp-12615,TbBe13
mp-12648,Ti2Be17
mp-12660,LuB6
mp-12666,Be12Pd
mp-12763,TbB6
mp-1296,ErB6
mp-13415,Ta3B2
mp-13452,BePd2
mp-13608,Be13Sb
mp-13854,B3Ru2
mp-13862,B13P2
mp-14019,NiB
mp-1432,Be2B
mp-1472,ZrB2
mp-1480,BaSi6
mp-1514,UB2
mp-1542,YB2
mp-15617,Cr5B3
mp-15809,Cr2B
mp-1632,NdB4
mp-16713,Pr2B5
mp-16762,PrB3
mp-1687,BaPd2
mp-1730,BaGe
mp-17325,Ba5Sn3
mp-1756,ThB6
mp-1773,ReB2
mp-1845,CaBe13
mp-18636,Ba3Sn5
mp-1890,BMo
mp-1892,Ba2N
mp-1929,NdB6
mp-20136,BaPb
mp-2031,Be2Cu
mp-20517,BPd3
mp-2057,DyB2
mp-20689,Nb3B2
mp-2091,V3B2
mp-21446,BaPb3
mp-21502,BRh2
mp-2197,BaHg
mp-2203,YB6
mp-22141,BaIn2
mp-2225,Be2Fe
mp-2252,ScB2
mp-2267,HoB2
mp-22687,BaIn4
mp-2315,NaB15
mp-23201,BaBi3
mp-2323,BeCu
mp-2331,B2Mo
mp-2499,BaSi
mp-2536,Ni2B
mp-2544,Zr2Be17
mp-2580,NbB
mp-260,CrB
mp-2606,BaPd5
mp-2611,BaGe2
mp-2617,B2Pd5
mp-262,Na3B20
mp-2680,LaB6
mp-2719,DyB4
mp-27710,CrB4
mp-27757,Be4B
mp-2850,B2Os
mp-28629,Ta5B6
mp-28893,ReB
mp-29621,Ba5Bi3
mp-29651,B4W
mp-29953,Na2B29
mp-303,BaZn5
mp-30425,BaBe13
mp-30428,BaCu
mp-30434,BaTl2
mp-30435,BaZn2
mp-30438,Be2Cr
mp-30441,Be17Nb2
mp-30445,ZrBe13
mp-30892,Ba4Bi3
mp-31189,DyBe13
mp-31216,BaCd11
mp-31498,BaPt
mp-31509,BaIn
mp-335,BaGa4
mp-345,HfB
mp-450,NbB2
mp-451,ZrB
mp-493,Co2B
mp-527,BaCd
mp-555170,B12S
mp-567164,BRh
mp-567415,Nd2B5
mp-567872,Ba2Bi
mp-567926,B4Rh5
mp-568143,TmB4
mp-568225,TbB4
mp-568319,DyB6
mp-568384,ScB2
mp-568430,BaRh2
mp-568512,Ba6Mg23
mp-568912,Be12Nb
mp-569270,V3B4
mp-569281,HoB4
mp-569364,Be22Re
mp-569404,Ni4B3
mp-569424,Cr2B
mp-569529,Ba2Bi3
mp-570034,ErB4
mp-570421,Sm2B5
mp-570938,B5W2
mp-571352,TmB6
mp-571353,BaSn5
mp-571491,HoB6
mp-571622,Be12Pt
mp-576,B13C2
mp-580,PuB2
mp-601223,BN
mp-614006,B2O
mp-622106,Ba5Pb3
mp-624668,BaSb2
mp-630923,Ba3Pb5
mp-632822,Li5B4
mp-633538,B9C
mp-637,YB4
mp-640551,Ba4Si23
mp-684709,K3B17
mp-6950,BaSb3
mp-6996,SmB6
mp-7229,B5Mo2
mp-747,BaPt2
mp-7655,BaSi2
mp-7701,BaSi2
mp-7759,BaSn3
mp-7817,YB12
mp-7832,BW
mp-7857,TiB
mp-800,TmB2
mp-8079,B5W2
mp-8093,Ba2Cd
mp-8094,Ba2Hg
mp-811,BaPt5
mp-8365,MnB
mp-8546,SmB4
mp-855,MgBe13
mp-861943,BPt3
mp-862714,Be3Ir
mp-862847,PaB3
mp-862984,PmB3
mp-864894,Be3Rh
mp-865168,Be3Ni
mp-865562,Be3Ru
mp-865889,YbBe13
mp-867770,BaHg3
mp-872,BaSn
mp-8772,ScB12
mp-902,BaZn
mp-9208,V2B3
mp-960,B2Mo
mp-965,TbB2
mp-971853,Zn3B
mp-971859,Zn3B
mp-972733,Si3B
mp-972891,ScBe13
mp-973809,NdBe13
mp-975037,Rb3Ba
mp-975053,Rb3Ba
mp-975397,RbBa3
mp-975509,RbBa3
mp-975611,Ge3B
mp-975644,BeF2
mp-976080,Ge3B
mp-977119,Li3Be
mp-977325,Np3Be
mp-977552,Be3Tc
mp-978495,SiB
mp-978855,Sn3B
mp-978886,SnB
mp-978917,Sn3B
mp-979009,Th3Be
mp-979412,Th3B
mp-983230,Ga3B
mp-984612,Be3Ru
mp-984715,Ba3Er
mp-984728,BC
mp-984765,Ba3Te
mp-984776,BeIn3
mp-984796,BaTh3
mp-9858,Ba3Ge4
mp-9908,Ba2Sb
mp-9909,Ba5Sb3
mp-997617,BOs
mp-999118,TcB
mp-999120,TcB
mp-999198,BMo
mp-1001605,PrBi
mp-1001833,InBi
mp-1001913,HoBi
mp-1001918,HfC
mp-1002165,GeC
mp-1002206,SiC
mp-10030,RuC
mp-1006059,Tl3Bi
mp-1006887,CdC
mp-1008488,BiPd
mp-1008490,BiI3
mp-1008642,UC2
mp-1008802,ReC2
mp-1008805,ReC2
mp-1008832,HfC
mp-1008835,OsC2
mp-1009218,MoC
mp-1009537,OsC
mp-1009648,PtC
mp-1009655,CaC2
mp-1009696,RhC
mp-1009735,ReC
mp-1009748,ScC
mp-1009832,TaC
mp-1009835,TaC
mp-1009878,ZrC
mp-1011031,PrBi
mp-1013587,Sr3Bi2
mp-1014287,C3N
mp-1014311,C3N
mp-1018126,GaBi
mp-1018165,PtC
mp-1019051,ReC2
mp-1022722,Bi3O2
mp-1022724,CaC4
mp-1024947,YbBi2
mp-1025192,Ta4C3
mp-1039106,SnBi
mp-1039344,Sn3Bi
mp-1039347,SnBi3
mp-1058019,BrN
mp-1058887,TlC
mp-1059160,BrN
mp-1059552,SmBi
mp-1060962,TlC
mp-1063755,BiSe
mp-1063764,BiSe
mp-1064282,InC3
mp-1064405,ZnBi
mp-1064459,PBr
mp-1064840,BiS
mp-1066029,RbBi
mp-1066078,BiPt
mp-1066783,ZrBr
mp-10720,ThC2
mp-10721,Ti2C
mp-1072744,Hf2Bi
mp-1077063,La2Bi
mp-1077466,CaBi2
mp-1077777,Pr2Bi
mp-1078313,Bi2Pt
mp-1078579,Fe4C
mp-1078607,BiSe
mp-1078957,Ta3Be2
mp-1079494,ReC
mp-1080122,Bi2O3
mp-1092293,Bi2Pt
mp-1096993,HfC
mp-1100776,ZnBi3
mp-1101783,Bi2Ir
mp-1102082,Bi2Se
mp-1102444,UC2
mp-1103073,Sb2Br9
mp-1104193,Be12Co
mp-1104558,Bi10Mo3
mp-1105548,Pr5Bi3
mp-1105643,Hf2Be17
mp-1105985,Bi14Mo5
mp-1120786,VBi2
mp-11272,Be2Nb3
mp-11276,BeRh
mp-11277,ScBe5
mp-11283,ZrBe5
mp-1147530,CuBr2
mp-1147532,CuBr2
mp-1164,ThC
mp-1182022,BiSe
mp-1182030,BrN
mp-1183401,BeCr3
mp-1183439,BiPt3
mp-1183465,Bi3Pb
mp-1183475,CaBr
mp-1183477,BiPt3
mp-1183481,BiS3
mp-1183495,BePb3
mp-1183506,Bi3P
mp-1183629,CdBi3
mp-1183657,CdBi3
mp-1183658,Cd3Bi
mp-1183974,GaBi3
mp-1184015,GaC
mp-1184068,Dy3Bi
mp-1184168,ErBi3
mp-1184182,ErBi3
mp-1184488,In3Bi
mp-1184566,HgC
mp-1184578,Ho3Bi
mp-1184626,Hf3Be
mp-1184679,HgBi3
mp-1184694,HfBi3
mp-1184697,Hg3Bi
mp-1184713,Hf3Bi
mp-1184720,HgBr3
mp-1184745,HoBi3
mp-1184879,IBr2
mp-1184943,KBi3
mp-1185520,LuBi3
mp-1186259,Nd3Br
mp-1186264,Nd3Br
mp-1186382,Pa3Br
mp-1186696,Pr3Br
mp-1186746,PrBi3
mp-1186908,RhBr
mp-1186964,Sc3Bi
mp-1187019,Se3Br
mp-1187024,Sn3Bi
mp-1187199,Ta3Bi
mp-1187275,Tb3Bi
mp-1187331,TbBi3
mp-1187332,TbBi3
mp-1187471,ThBi3
mp-1187484,TlBi3
mp-1187502,Tl3Bi
mp-1187584,TmBr
mp-1187685,TmBi3
mp-1187734,V3Br
mp-1187735,Y3Bi
mp-1187782,Y3Bi
mp-1187819,YBi3
mp-1187824,YBi3
mp-1187914,YbBi3
mp-1188037,Zr3Br
mp-1188514,Th2C3
mp-1189810,Bi3Mo
mp-1189848,Tb5Bi3
mp-1190719,Bi8Mo3
mp-1192314,HfBi2
mp-1193090,TmBe13
mp-1193529,PrBe13
mp-1206229,Sm2Bi
mp-1207019,BrO
mp-1215848,Yb2C
mp-1216545,Tl3Bi
mp-1216575,Tl4Bi
mp-1218401,SrC2
mp-1218947,SnBi
mp-1218964,SnBi
mp-1220638,Nb3Bi
mp-1221488,Mo4C3
mp-1221489,Mo3C2
mp-1222310,Lu2C
mp-1223757,In2Bi
mp-1223901,InBi3
mp-1223979,In2Bi
mp-1223990,In4Bi
mp-1225044,Er2C
mp-1227285,BiPd3
mp-1227305,BiTe
mp-1227326,BiPb
mp-1227339,BiTe
mp-1227358,BeP2
mp-1227388,Bi3Pd5
mp-1227413,Bi2Te
mp-1227459,BiPb4
mp-1252,ZrBe2
mp-13453,BePd3
mp-1423,HoC2
mp-1475,Be12Mo
mp-15177,Ho4C7
mp-15238,Ho4C5
mp-1579,ErC2
mp-15798,MoC
mp-1640,Ho2C
mp-1677,Be2Mo
mp-2025,HfBe5
mp-2028,Be2Nb
mp-2080,SrBe13
mp-21075,HfC
mp-22672,CeC
mp-22861,NiBi
mp-22864,Bi2Pt
mp-22866,HoBi
mp-22868,BiRh
mp-22873,SmBi
mp-22878,MnBi
mp-22891,Bi2O3
mp-22907,DyBi
mp-22921,TbBi
mp-22923,BiPt
mp-22924,NaBi
mp-22926,LaBi
mp-23159,SrBi3
mp-23163,CsBi2
mp-23166,NpBr3
mp-23171,PrBi
mp-23179,NiBi3
mp-2318,Nb2C
mp-23180,In5Bi3
mp-23187,La4Bi3
mp-23188,In2Bi
mp-23206,BiPd
mp-23217,Bi2Rh
mp-23234,TmBi
mp-23241,YBi
mp-23245,ErBi
mp-23247,ZrBr3
mp-23253,RbBi2
mp-23279,KBi2
mp-23294,RuBr3
mp-23300,NdBi
mp-23310,Yb4Bi3
mp-23313,InBi
mp-2367,LaC2
mp-23903,HBr
mp-2486,UC2
mp-2676,TaBe2
mp-269,TmC2
mp-27902,BiSe
mp-27919,Ti8C5
mp-27945,BiO
mp-2795,ZrC
mp-28149,Bi9I2
mp-29619,Sr2Bi
mp-29620,Sr5Bi3
mp-29642,ZrBi2
mp-30083,TlBi
mp-30463,BiPd3
mp-30464,Bi2Pd5
mp-30469,TlBi2
mp-30893,Sr4Bi3
mp-30933,ZrBi
mp-31150,Sr2Bi3
mp-31463,Tb5Bi3
mp-31464,Dy5Bi3
mp-31465,Ho5Bi3
mp-31466,Er5Bi3
mp-32548,BiO2
mp-35216,BiTe3
mp-36891,Br3N
mp-504594,ZrBr
mp-541840,DyC2
mp-542615,Bi3Se4
mp-558953,Bi2O3
mp-567362,BiTe
mp-567624,CrBr2
mp-567842,TaBe12
mp-568014,Nb3Bi
mp-568069,Ti2Bi
mp-568503,Fe2C
mp-568531,Bi2Pt
mp-568746,Bi2Pd
mp-568827,Be12W
mp-568844,BiSe
mp-569018,Mg3Bi2
mp-569095,Rb3Bi
mp-569581,Bi2Pt
mp-569727,BiPd
mp-569765,InBi
mp-569792,CuBi
mp-569989,Nb2C
mp-570197,Bi2Pd
mp-570286,BiSe
mp-570632,ScBi
mp-570686,SnBi
mp-571172,In2Bi
mp-571335,ThBi2
mp-583234,Bi4I
mp-637599,Bi2O3
mp-650,Be5Pd
mp-7142,OsC
mp-755137,BiO2
mp-862565,ScBr2
mp-864915,HfBr3
mp-865534,YBr2
mp-865856,PaBi3
mp-866006,CaBi3
mp-866201,Ti3Bi
mp-867248,LaBi3
mp-9546,Yb2C3
mp-971718,ZnBi3
mp-971768,Ti3Br
mp-971906,TmBi3
mp-972658,SmBi3
mp-972742,SmBr
mp-972837,SiBi3
mp-972874,SeBr3
mp-972941,NaBi3
mp-973155,Ge3C
mp-973175,ScBi3
mp-973461,Hg3C
mp-973623,GeBi3
mp-973767,PmBi3
mp-973876,PaBi3
mp-973976,LuBr
mp-974330,SBr3
mp-974332,S3Br
mp-974371,Rh3Br
mp-974474,ReBr
mp-974568,Re3Bi
mp-974571,Mn3Be
mp-975411,RbBr3
mp-976419,Hf3Bi
mp-977194,Na3Be
mp-977275,LuBi3
mp-978744,SmBi3
mp-978882,SnBi3
mp-979116,Th3Br
mp-979268,Tl3Br
mp-980667,SrBr3
mp-981336,Zn3C
mp-981387,Hg3Bi
mp-981390,HgBi3
mp-982064,Tl3Br
mp-983237,Ga3Bi
mp-983590,Be3Fe
mp-984050,BiH3
mp-984315,Be3Ni
mp-985280,Co3Bi
mp-998896,YC
mp-998901,ThC
mp-999203,ScC
mp-999318,NiBi
mvc-10374,Bi4O9
mvc-11235,BiN
mvc-13496,BiF5
mvc-15971,BiO2
mvc-6081,BiO2
mvc-6615,BiO2
mvc-6945,BiO2
mvc-8880,Bi2O5
mvc-9645,BiO2
mp-10008,Ca7Ge
mp-1001789,IrC
mp-1001827,IrC
mp-10020,ScC
mp-1002228,PtC
mp-1006882,CdC
mp-1007758,HfCd
mp-1008625,W2C
mp-1008630,WC
mp-1008632,V2C
mp-1008635,WC
mp-1008673,TmCd2
mp-1008806,ReC2
mp-1008910,LuCd2
mp-1008918,CdN
mp-1009071,IrC2
mp-1009458,NbC
mp-1009459,NbC
mp-1009533,PdC
mp-1009538,PdC
mp-1009539,OsC
mp-1009582,NiC
mp-1009651,CaHg2
mp-1009654,CaGe2
mp-1009657,CaN2
mp-1009731,ReC
mp-1009787,RuC
mp-1009817,TaC
mp-1009822,SnC
mp-1014214,C3N
mp-1014281,C3N
mp-1014286,C3N
mp-1014296,C3N
mp-1014298,C3N
mp-1014307,ZrC
mp-1014316,C3N
mp-1014324,C3N
mp-1017519,IrC
mp-1018050,CrC
mp-1018130,PaC2
mp-1018156,Hf2Cd
mp-1018164,PtC
mp-1018850,OsC2
mp-1019054,ReC2
mp-1019097,SiC2
mp-1024,CaGe2
mp-1025297,SmC6
mp-1038783,CaZn
mp-1038828,CaZn
mp-1038879,Ca3Zn
mp-1038915,CaZn
mp-1039123,CaZn
mp-1039147,CaZn
mp-1039208,Ca2Zn
mp-1039229,Ca3Zn
mp-1039262,CaZn3
mp-1039275,CaZn
mp-1039447,CaZn
mp-1062310,LuCd2
mp-1063133,CaPd2
mp-1063314,Ca2Rh
mp-1064861,GaC3
mp-1067260,CaW
mp-10684,CaTe
mp-10709,ReC
mp-1071152,CaC2
mp-1072492,CaC2
mp-1073,CaCd
mp-1077157,IrC2
mp-1077545,CaC2
mp-1077889,IrC2
mp-1078,CaCd2
mp-1078219,C3N4
mp-1078791,C2N3
mp-1079828,IrC4
mp-1080042,IrC4
mp-1091387,CaHg3
mp-1094093,NbC
mp-1094784,CaZn3
mp-1094980,CaZn3
mp-1095001,CaZn
mp-1095665,CaO2
mp-1102811,SiC2
mp-1103139,Ca2Hg
mp-1103211,CaPt2
mp-1103570,Ca5Pt2
mp-1103975,YbC6
mp-1104661,Ca3Pd2
mp-1104669,Ca5Pd2
mp-1105651,Ca5Pt3
mp-1106061,Ca3Pd
mp-11180,NaC
mp-11284,CaGa2
mp-11286,CaHg
mp-11287,CaHg2
mp-11288,Ca3Hg2
mp-11290,CaSn3
mp-11311,TmCd2
mp-1147643,CS
mp-1181909,CaO2
mp-1182146,Ca5Pb3
mp-1182172,C3N4
mp-11826,CaPd5
mp-1183480,Ca3Lu
mp-1183487,Ca3Y
mp-1183489,Ca3Sn
mp-1183491,Ca3Nd
mp-1183494,Ca3Sm
mp-1183497,CaDy3
mp-1183501,Ca3Cd
mp-1183509,Ca3Pm
mp-1183510,Ca3Os
mp-1183514,Ca3Y
mp-1183515,Ca3Y
mp-1183517,CaCd3
mp-1183545,CaF
mp-1183558,CaYb3
mp-1183572,CaI
mp-1183578,CaH3
mp-1183594,CaYb3
mp-1183599,CaOs3
mp-1183628,CdC
mp-1183651,Cd3Te
mp-1183655,CdPd3
mp-1183662,Cd3Ga
mp-1183726,CdSn
mp-1183935,CsCa3
mp-1184819,InC
mp-1184855,K3Ca
mp-1184877,K3Ca
mp-1184984,KCa3
mp-1185016,KCa3
mp-1185070,KCa3
mp-1185440,Lu3Cd
mp-1186032,Na3Ca
mp-1186129,NaCa3
mp-1186132,NaCa3
mp-1186446,PbC
mp-1187105,Sr3Ca
mp-1187107,Sr3Ca
mp-1187110,Sr3Ca
mp-1187151,SrCa3
mp-1187152,SrCd3
mp-1187155,SrCa3
mp-1187169,SrCa3
mp-1187218,Ta3C
mp-1187391,Tc3C
mp-1187454,Ti3C
mp-1187466,Ti3Cd
mp-1188023,Zr3C
mp-1188029,Zr3Cd
mp-1189230,Ca3Tl5
mp-1189286,Cr3C
mp-1189870,Ca5Ga3
mp-1191474,CaSi
mp-1191538,Ca8In3
mp-1205346,CaSi3
mp-1205360,CaGe3
mp-1207162,Rb4C
mp-1210274,Na2C
mp-1216471,V4C3
mp-1216474,V4C3
mp-1217106,Ti2C
mp-1217298,Th5C
mp-1218000,Ta4C3
mp-1218346,SrCa
mp-1218350,SrCa
mp-1218357,SrCa
mp-1219177,Sm2C
mp-1220501,Nb4C3
mp-1220515,Nb4C3
mp-1221473,Mo3C2
mp-1221498,Mo2C
mp-1226378,Cr2C
mp-1227047,CaYb3
mp-1227062,CaYb3
mp-1232418,CaTb3
mp-12467,Ca5Sb3
mp-12574,Dy2C
mp-12611,Ca3Ga8
mp-12614,Ca2Cu
mp-12764,SmC2
mp-1282,VC
mp-13136,WC
mp-13286,CaGe2
mp-1334,Y2C
mp-13364,CaZn2
mp-1444,CaCd2
mp-15178,Lu4C7
mp-15237,Tb4C5
mp-15319,Lu2C3
mp-1552,Mo2C
mp-1563,CaSi
mp-15660,Nb4C3
mp-16296,Sc2C3
mp-1725,CaZn2
mp-1734,CaZn5
mp-1800,Nd2C3
mp-18167,Ca3Cd2
mp-1871,Fe2C
mp-1882,CaCu5
mp-1884,Ca5Ge3
mp-1894,WC
mp-1976,CaGa4
mp-1995,PrC2
mp-20034,CaPb
mp-20263,CaIn
mp-2034,W2C
mp-20549,CaPb3
mp-20581,Ca3In
mp-20648,V2C
mp-20669,Ca2In
mp-21068,CaIn2
mp-21187,CaIn
mp-2119,TbC2
mp-213,CaPd
mp-2238,Dy2C3
mp-22488,Co2C
mp-2295,CaNi2
mp-2297,NdC2
mp-2305,MoC
mp-2324,PrCd2
mp-2332,Ho2C3
mp-2360,CaGe
mp-2450,CaSn
mp-2461,CaGa4
mp-2489,UC
mp-2686,Ca2N
mp-2699,CaSi2
mp-2700,CaSi2
mp-2760,Nb6C5
mp-2786,Ca5Zn3
mp-2839,CeC2
mp-2861,CaTl
mp-28861,CsC8
mp-28930,KC8
mp-29941,Sc2C
mp-30471,CaCu
mp-30473,Ca3Ga5
mp-30479,Ca3Pb
mp-30481,CaPt5
mp-30482,Ca3Tl
mp-30483,CaZn
mp-30485,Ca3Zn
mp-30488,CdHg2
mp-30494,ScCd3
mp-31154,Ca5Hg3
mp-313,YC2
mp-31502,ScCd7
mp-33065,W2C
mp-526,CaTl3
mp-567397,W2C
mp-567456,CaGe2
mp-567465,TlC
mp-567925,MoC
mp-568643,RbC8
mp-569335,Sm2C3
mp-570108,ThC2
mp-570112,Cr3C2
mp-570356,Ca5Ir
mp-570436,CaIr2
mp-570466,Li2Ca
mp-571484,Ca3Hg
mp-571589,Mo2C
mp-579,CrC
mp-581665,CaIn2
mp-631,TiC
mp-643542,CaGe2
mp-683,Pr2C3
mp-684949,Ca2F
mp-684989,W9C4
mp-6914,CaGa
mp-692,Tb2C
mp-7024,Tb2C3
mp-7088,Ta2C
mp-7224,ThC2
mp-7493,CaSb2
mp-7586,Ni3C
mp-770,DyCd
mp-793,Ca5Si3
mp-833,CaPd2
mp-8371,LuC2
mp-8372,CaSi2
mp-842,CaPt2
mp-862,CaSi2
mp-862559,LaCd3
mp-863648,CaHg3
mp-865077,NaCd3
mp-865612,LiCd3
mp-9459,Y4C5
mp-9530,Y4C7
mp-9544,Er2C3
mp-9545,Tm2C3
mp-971857,Zn3C
mp-972103,U3C
mp-972848,SiC3
mp-973450,Hg3C
mp-974437,Re2C
mp-974452,Re3C
mp-975043,Rb3Ca
mp-975383,RbCa3
mp-975390,RbCa3
mp-975404,RbCa3
mp-975641,Pr3Cd
mp-976422,Hf3C
mp-977062,Na3Ca
mp-978273,Mg3Cd
mp-979413,W3C
mp-982205,Rb3Cd
mp-984523,CsCa3
mp-984744,Ca3Tl
mp-992,CaGa2
mp-9925,Ca2Sb
mp-995183,CO
mp-995184,HC2
mp-995196,CO3
mp-998893,YC
mp-998894,YC
mp-999205,ScC
mp-999259,RuC
mp-999308,OsC
mp-999377,NbC
mp-999388,NbC
mp-1008471,CdTe
mp-1009080,HoCd2
mp-1009264,NbCo
mp-1011376,CeSe2
mp-1017529,VCo3
mp-1017540,ZrCd
mp-1018104,Zr2Cd
mp-1018117,CeRh
mp-1018665,CeSe2
mp-1018810,Na2Cl
mp-1025388,YbCl3
mp-1025415,CePd7
mp-1025425,Co3H
mp-1025443,ThCd3
mp-1055,CdSe
mp-1057084,NCl
mp-1060884,UCd
mp-1062169,ErCd2
mp-1062206,NdCd2
mp-1062984,ThCo2
mp-1062989,CeO2
mp-1063156,ErCd2
mp-1063522,CePd2
mp-1064484,Na3Cl
mp-1064981,HfCo
mp-1066480,CdTe
mp-1067236,CdPt3
mp-1067974,ZrCl
mp-10688,CeO
mp-10692,CoGe
mp-1069676,Na3Cl2
mp-1077015,Na2Cl
mp-1077032,CeZn2
mp-1077075,CeIr5
mp-1077288,Na2Cl
mp-1077706,Cr2Co
mp-1078558,NaCl3
mp-1079065,Zr3Co
mp-1079241,Ce2Si7
mp-1079395,CeGe
mp-1080124,CdCl4
mp-1080319,CeSe2
mp-1095057,VCo3
mp-1095124,TaCo3
mp-1096876,CdO2
mp-1100773,Y3Cd
mp-1102302,CeOs2
mp-1102731,YbCd2
mp-1103359,CoTe2
mp-1104652,Nd5Co2
mp-1104821,Pr5Co2
mp-1105598,Y3Co
mp-1105958,Yb3Co
mp-1106011,Nd3Co
mp-1112,CeCo2
mp-1120770,Tl2Cl3
mp-11295,DyCd3
mp-11299,Cd2Hg
mp-11302,HoCd3
mp-11306,LuCd3
mp-11307,MgCd
mp-11309,NbCd3
mp-11310,CdNi
mp-11313,ZrCd3
mp-1132,CdO
mp-1147746,CoS
mp-1147756,CuCl2
mp-1147758,CuCl2
mp-1183621,Cd3Pd
mp-1183623,CdCu3
